id_leitura;valor;data_hora_leitura;alerta_gerado;fk_sensor
91;5.25;2025-07-16 19:00:00;Sim;283
189;24.79;2025-07-09 15:00:00;Nao;284
193;69.65;2025-07-25 01:00:00;Nao;285
273;126.0;2025-07-19 15:00:00;Nao;286
154;52.9;2025-07-28 17:00:00;Nao;287
282;63.0;2025-07-02 22:00:00;Sim;288
72;44.85;2025-08-09 21:00:00;Nao;289
51;84.0;2025-07-24 19:00:00;Sim;290
240;1.41;2025-08-20 23:00:00;Nao;291
54;12.22;2025-08-07 05:00:00;Nao;292
258;96.0;2025-08-25 23:00:00;Sim;293
280;53.48;2025-08-02 05:00:00;Nao;294
110;66.35;2025-08-13 21:00:00;Nao;295
256;61.39;2025-07-24 08:00:00;Nao;296
70;65.21;2025-08-05 18:00:00;Nao;297
253;4.78;2025-08-09 05:00:00;Nao;298
129;20.56;2025-08-09 16:00:00;Nao;299
272;32.75;2025-08-21 16:00:00;Sim;300
